id;relation;mots;mots_rel;Label
2931;(('ET', 'EG'), ('nmod',));('retrait', 'de', 'l', 'avenue');('retrait', 'avenue');1
2932;(('ET', 'EG'), ('nmod',));('min', 'de', 'l', 'accès A8');('min', 'accès A8');1
2933;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('min', 'de', 'l', 'accès A8', 'et', 'de', 'la', 'gare routière');('min', 'accès A8', 'gare routière');1
2934;(('TOPONYME', 'ET'), ('nmod',));('Mandelieu', ',', 'en', 'retrait');('Mandelieu', 'retrait');0
2935;(('ET', 'EG'), ('nmod',));('aperçu', 'mer');('aperçu', 'mer');1
2936;(('ET', 'TOPONYME'), ('nmod',));('minutes', 'de', 'Gairaut');('minutes', 'Gairaut');1
2937;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('minutes', 'de', 'le', 'centre', 'de', 'Nice');('minutes', 'centre', 'Nice');0
2938;(('ET', 'TOPONYME'), ('nmod',));('vue', 'imprenable', 'sur', 'le', 'cap d Antibes');('vue', 'cap d Antibes');1
2939;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'le', 'centre');('minutes', 'centre');1
2940;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('vue', 'imprenable', 'sur', 'le', 'cap d Antibes', 'et', 'les', 'collines');('vue', 'cap d Antibes', 'collines');1
2941;(('ET', 'EG'), ('nmod',));('cœur', 'de', 'la', 'ville');('cœur', 'ville');1
2942;(('TOPONYME', 'ET'), ('appos',));('CARRE D OR', 'A', '3', 'MINUTES');('CARRE D OR', 'MINUTES');0
2943;(('ET', 'EG'), ('nmod',));('vue', 'panoramique', 'mer');('vue', 'mer');1
2944;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('vue', 'panoramique', 'mer', 'et', 'montagnes');('vue', 'mer', 'montagnes');1
2945;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('retrait', 'de', 'le', 'boulevard', 'de', 'Cessole');('retrait', 'boulevard', 'Cessole');0
2946;(('ET', 'EG'), ('nmod',));('retrait', 'de', 'le', 'boulevard');('retrait', 'boulevard');1
2947;(('EG', 'EG', 'ET'), ('conj', 'case'));('secteur', 'Port', 'Quartier', 'Port', 'rue', 'Bonaparte', 'proche', 'place');('secteur', 'place', 'proche');0
2948;(('EG', 'ET'), ('case',));('proche', 'place');('place', 'proche');1
2949;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('min', 'de', 'l', 'avenue', 'Jean Médecin');('min', 'avenue', 'Jean Médecin');0
2950;(('ET', 'EG'), ('nmod',));('min', 'de', 'l', 'avenue');('min', 'avenue');1
2951;(('EG', 'ET'), ('nmod',));('rue', 'Alphonse Karr', 'à', '2', 'min');('rue', 'min');1
2952;(('ET', 'VERB', 'TOPONYME'), ('advcl', 'obl:arg'));('Proximité', 'avec', 'les', 'principaux', 'axes', 'pour', 'aller', 'de', 'Cannes');('Proximité', 'aller', 'Cannes');0
2953;(('ET', 'VERB', 'TOPONYME'), ('advcl', 'obl:mod'));('Proximité', 'avec', 'les', 'principaux', 'axes', 'pour', 'aller', 'de', 'Cannes', 'à', 'Monaco');('Proximité', 'aller', 'Monaco');0
2954;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('minutes', 'à', 'pieds', 'de', 'la', 'gare', 'Nice');('minutes', 'gare', 'Nice');0
2955;(('ET', 'EG'), ('nmod',));('Proximité', 'avec', 'les', 'principaux', 'axes');('Proximité', 'axes');1
2956;(('ET', 'EG'), ('nmod',));('minutes', 'à', 'pieds', 'de', 'la', 'gare');('minutes', 'gare');1
2957;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
2958;(('ET', 'EG'), ('obl:arg',));('Proche', 'commodités');('Proche', 'commodités');1
2959;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('Proche', 'commodités', 'et', 'parc');('Proche', 'commodités', 'parc');1
2960;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'les', 'commodités');('proche', 'commodités');1
2961;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('proche', 'de', 'les', 'commodités', 'et', 'commerces');('proche', 'commodités', 'commerces');1
2962;(('ET', 'EG'), ('nmod',));('m', 'de', 'la', 'mer');('m', 'mer');1
2963;(('ET', 'EG'), ('nmod',));('vue', 'sur', 'la', 'marina');('vue', 'marina');1
2964;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'toutes', 'les', 'commodités');('proche', 'commodités');1
2965;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
2966;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
2967;(('ET', 'EG', 'TOPONYME'), ('obl:arg', 'appos'));('proche', 'de', 'le', 'futur', 'centre ville', '(', 'ARENAS');('proche', 'centre ville', 'ARENAS');0
2968;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'le', 'futur', 'centre ville');('proche', 'centre ville');1
2969;(('EG', 'ET'), ('amod',));('Quartier', 'Ouest', 'de', 'la', 'ville', ',', 'proche');('Quartier', 'proche');0
2970;(('EG', 'VERB', 'ET'), ('acl', 'obj'));('hauteurs', 'permettant', 'une', 'vue');('hauteurs', 'permettant', 'vue');0
2971;(('EG', 'ADP', 'ET'), ('advmod', 'fixed'));('Collège', 'commerces', 'à', 'proximité');('Collège', 'à', 'proximité');1
2972;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
2973;(('TOPONYME', 'TOPONYME', 'ET'), ('flat:name', 'flat:name'));('Antibes', 'Ilette', 'vue');('Antibes', 'Ilette', 'vue');0
2974;(('TOPONYME', 'ET'), ('flat:name',));('Ilette', 'vue');('Ilette', 'vue');0
2975;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
2976;(('ET', 'EG'), ('nmod',));('Vue', 'mer');('Vue', 'mer');1
2977;(('ET', 'TOPONYME'), ('nmod',));('proche', 'de', 'sophia antipolis');('proche', 'sophia antipolis');1
2978;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('proche', 'de', 'sophia antipolis', 'et', 'de', 'les', 'commerces');('proche', 'sophia antipolis', 'commerces');1
2979;(('EG', 'ET'), ('conj',));('Secteur', 'Vallauris', ',', 'st bernard', ',', 'proche');('Secteur', 'proche');0
2980;(('ET', 'EG'), ('nmod',));('Proche', 'transport');('Proche', 'transport');1
2981;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('Proche', 'transport', 'et', 'commerces');('Proche', 'transport', 'commerces');1
2982;(('ET', 'TOPONYME'), ('nmod',));('coeur', 'de', 'Nice');('coeur', 'Nice');1
2983;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('mètres', 'de', 'l', 'avenue', 'Victor Hugo');('mètres', 'avenue', 'Victor Hugo');0
2984;(('ET', 'EG'), ('nmod',));('mètres', 'de', 'l', 'avenue');('mètres', 'avenue');1
2985;(('TOPONYME', 'ET'), ('nmod',));('Carré or', ',', 'à', 'le', 'coeur');('Carré or', 'coeur');0
2986;(('TOPONYME', 'ET'), ('nmod',));('Carré or', ',', 'à', 'le', 'coeur', 'de', 'Nice', ',', 'à', '30', 'mètres');('Carré or', 'mètres');0
2987;(('ET', 'EG'), ('nmod',));('mètres', 'de', 'le', 'bassin');('mètres', 'bassin');1
2988;(('ET', 'EG'), ('nmod',));('vue', 'dégagée', 'château');('vue', 'château');1
2989;(('EG', 'ET'), ('nmod',));('Port', 'à', '50', 'mètres');('Port', 'mètres');1
2990;(('EG', 'NOUN', 'ET'), ('appos', 'nmod'));('bassin', 'splendide', 'appartement', 'rénové', 'vaste', 'séjour', 'cuisine', 'américaine', '30', 'm²', 'vue');('bassin', 'séjour', 'vue');0
2991;(('ET', 'EG', 'TOPONYME'), ('nmod', 'conj'));('vue', 'panoramique', 'mer', 'sur', 'le', 'Port', 'et', 'le', 'cap d Antibes');('vue', 'Port', 'cap d Antibes');1
2992;(('ET', 'EG'), ('appos',));('vue', 'panoramique', 'mer');('vue', 'mer');1
2993;(('ET', 'EG'), ('nmod',));('vue', 'panoramique', 'mer', 'sur', 'le', 'Port');('vue', 'Port');1
2994;(('ET', 'EG', 'TOPONYME'), ('appos', 'flat:name'));('vue', 'mer', 'cap d Antibes');('vue', 'mer', 'cap d Antibes');1
2995;(('ET', 'EG'), ('appos',));('vue', 'mer');('vue', 'mer');1
2996;(('ET', 'TOPONYME'), ('flat:name',));('coeur', 'musiciens');('coeur', 'musiciens');1
2997;(('TOPONYME', 'EG', 'ET'), ('flat:name', 'flat:name'));('Nice', 'Centre Ville', 'coeur');('Nice', 'Centre Ville', 'coeur');0
2998;(('EG', 'ET'), ('flat:name',));('Centre Ville', 'coeur');('Centre Ville', 'coeur');0
2999;(('ET', 'TOPONYME'), ('nmod',));('coeur', 'de', 'le', 'Vieux Nice');('coeur', 'Vieux Nice');1
3000;(('ET', 'EG', 'TOPONYME'), ('conj', 'nmod'));('coeur', 'de', 'le', 'Vieux Nice', ',', 'rue', 'de', 'la', 'préfecture');('coeur', 'rue', 'préfecture');0
3001;(('ET', 'EG'), ('conj',));('coeur', 'de', 'le', 'Vieux Nice', ',', 'rue');('coeur', 'rue');0
3002;(('ET', 'EG'), ('nmod',));('mètres', 'de', 'la', 'mer');('mètres', 'mer');1
3003;(('ET', 'EG'), ('nmod',));('vue', 'dégagée', 'sur', 'jardin');('vue', 'jardin');1
3004;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('vue', 'dégagée', 'sur', 'jardin', 'et', 'mer');('vue', 'jardin', 'mer');1
3005;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('mètres', 'de', 'l', 'avenue', 'jean médecin');('mètres', 'avenue', 'jean médecin');0
3006;(('ET', 'EG'), ('nmod',));('mètres', 'de', 'l', 'avenue');('mètres', 'avenue');1
3007;(('EG', 'ET'), ('nmod',));('centre ville', 'de', 'Nice', 'à', '100', 'mètres');('centre ville', 'mètres');1
3008;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('vue', 'panoramique', 'sur', 'la', 'baie', 'de', 'Nice');('vue', 'baie', 'Nice');0
3009;(('ET', 'EG'), ('nmod',));('vue', 'panoramique', 'sur', 'la', 'baie');('vue', 'baie');1
3010;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('pas', 'de', 'le', 'Centre ville', 'de', 'Nice');('pas', 'Centre ville', 'Nice');0
3011;(('ET', 'EG'), ('nmod',));('pas', 'de', 'le', 'Centre ville');('pas', 'Centre ville');1
3012;(('ET', 'ADP', 'EG'), ('advmod', 'obl:arg'));('pas', 'de', 'le', 'Centre ville', 'de', 'Nice', 'en', 'face', 'de', 'le', 'boulevard');('pas', 'en', 'boulevard');0
3013;(('EG', 'ET'), ('nmod',));('situation', 'dominante', 'avec', 'une', 'splendide', 'vue');('situation', 'vue');0
3014;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('portes', 'de', 'le', 'Parc national', 'de', 'le', 'Mercantour');('portes', 'Parc national', 'Mercantour');0
3015;(('ET', 'EG'), ('nmod',));('portes', 'de', 'le', 'Parc national');('portes', 'Parc national');1
3016;(('EG', 'ET'), ('nmod',));('station village', ',', 'à', '1.600', 'mètres');('station village', 'mètres');1
3017;(('EG', 'ADV', 'ET'), ('nmod', 'dep:comp'));('écoles primaires', 'à', 'moins', 'de', '5', 'minutes');('écoles primaires', 'moins', 'minutes');1
3018;(('EG', 'ET'), ('nmod',));('gare', 'à', 'quelques', 'pas');('gare', 'pas');1
3019;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('portes', 'de', 'le', 'Parc national', 'de', 'le', 'Mercantour');('portes', 'Parc national', 'Mercantour');0
3020;(('ET', 'EG'), ('nmod',));('portes', 'de', 'le', 'Parc national');('portes', 'Parc national');1
3021;(('EG', 'ET'), ('nmod',));('station village', ',', 'à', '1.600', 'mètres');('station village', 'mètres');1
3022;(('EG', 'EG', 'ET'), ('root', 'acl'));('Emplacement', 'idéal', 'proche', 'des', 'commodités');('commodités', 'Emplacement', 'proche');0
3023;(('EG', 'ET'), ('acl',));('Emplacement', 'idéal', 'proche');('Emplacement', 'proche');1
3024;(('ET', 'EG'), ('nmod',));('Proximité', 'avec', 'la', 'gare ferroviaire');('Proximité', 'gare ferroviaire');1
3025;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('Proximité', 'avec', 'la', 'gare ferroviaire', 'et', 'la', 'ligne 1');('Proximité', 'gare ferroviaire', 'ligne 1');1
3026;(('EG', 'ET'), ('root',));('Proximité', 'avec', 'la', 'gare ferroviaire', 'et', 'la', 'ligne 1', 'de', 'le', 'tramway');('tramway', 'Proximité');0
3027;(('EG', 'EG', 'ET'), ('nmod', 'root'));('Proximité', 'avec', 'la', 'gare ferroviaire', 'et', 'la', 'ligne 1', 'de', 'le', 'tramway');('ligne 1', 'tramway', 'Proximité');0
3028;(('ET', 'TOPONYME'), ('nmod',));('pas', 'de', 'Monaco');('pas', 'Monaco');1
3029;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('pas', 'de', 'la', 'frontière', 'avec', 'la', 'Principauté de Monaco');('pas', 'frontière', 'Principauté de Monaco');0
3030;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
3031;(('ET', 'EG'), ('appos',));('vue', 'mer');('vue', 'mer');1
3032;(('ET', 'EG'), ('nmod',));('pas', 'de', 'la', 'frontière');('pas', 'frontière');1
3033;(('ET', 'EG'), ('appos',));('aperçu', 'mer');('aperçu', 'mer');1
3034;(('ET', 'EG'), ('nmod',));('aperçu', 'mer');('aperçu', 'mer');1
3035;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('aperçu', 'mer', 'et', 'montagnes');('aperçu', 'mer', 'montagnes');1
3036;(('EG', 'ET'), ('advmod',));('pas', 'des', 'commerces');('commerces', 'pas');1
3037;(('ET', 'EG'), ('nmod',));('vue', 'dégagée', 'collines');('vue', 'collines');1
3038;(('ET', 'EG'), ('appos',));('Proches', 'IUFM');('Proches', 'IUFM');1
3039;(('ET', 'EG', 'EG'), ('appos', 'conj'));('Proches', 'IUFM', ',', 'commerces');('Proches', 'IUFM', 'commerces');1
3040;(('ET', 'EG', 'EG'), ('appos', 'conj'));('Proches', 'IUFM', ',', 'commerces', ',', 'tramway');('Proches', 'IUFM', 'tramway');1
3041;(('ET', 'EG', 'EG'), ('appos', 'conj'));('Proches', 'IUFM', ',', 'commerces', ',', 'tramway', ',', 'accès autoroute');('Proches', 'IUFM', 'accès autoroute');1
3042;(('ET', 'TOPONYME'), ('nmod',));('coeur', 'de', 'le', 'Mont Boron');('coeur', 'Mont Boron');1
3043;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('minutes', 'à', 'pieds', 'de', 'le', 'Col', 'de', 'Villefranche');('minutes', 'Col', 'Villefranche');0
3044;(('ET', 'ADJ', 'EG'), ('amod', 'conj'));('Vue', 'magnifique', ',', 'mer');('Vue', 'magnifique', 'mer');1
3045;(('ET', 'EG'), ('conj',));('Vue', 'magnifique', ',', 'mer', ',', 'ville');('Vue', 'ville');1
3046;(('ET', 'EG'), ('conj',));('Vue', 'magnifique', ',', 'mer', ',', 'ville', 'et', 'collines');('Vue', 'collines');1
3047;(('ET', 'ET', 'EG'), ('conj', 'nmod'));('coeur', 'de', 'le', 'Mont Boron', 'et', 'à', 'quelques', 'minutes', 'à', 'pieds', 'de', 'le', 'Col');('coeur', 'minutes', 'Col');0
3048;(('ET', 'EG'), ('nmod',));('minutes', 'à', 'pieds', 'de', 'le', 'Col');('minutes', 'Col');1
3049;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('minutes', 'à', 'pieds', 'de', 'le', 'Col', 'de', 'Villefranche', 'et', 'de', 'ses', 'nombreux', 'commerces');('minutes', 'Col', 'commerces');1
3050;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('Proche', 'gare', 'et', 'commodités');('Proche', 'gare', 'commodités');1
3051;(('ET', 'EG'), ('obl:arg',));('Proche', 'gare');('Proche', 'gare');1
3052;(('EG', 'ET'), ('root',));('Proche', 'gare', 'et', 'commodités');('commodités', 'Proche');0
3053;(('EG', 'EG', 'ET'), ('conj', 'root'));('Proche', 'gare', 'et', 'commodités');('gare', 'commodités', 'Proche');0
3054;(('TOPONYME', 'NOUN', 'ET'), ('nmod', 'nmod'));('Nice', 'Grand', 'studio', 'de', '31', 'm²', ',', 'dans', 'un', 'immeuble', 'art', 'déco', ',', 'avec', 'arrêt', 'de', 'le', 'tramway', 'à', '30', 'm');('Nice', 'arrêt', 'm');0
3055;(('ET', 'EG'), ('appos',));('PROCHE', 'TOUTES', 'COMMODITES');('PROCHE', 'COMMODITES');1
3056;(('TOPONYME', 'ET'), ('conj',));('LE CANNET', 'MONT JOLI', '4', 'PIÈCES', 'DERNIER', 'ÉTAGE', ',', 'AU', 'CALME', 'DANS', 'RESIDENCE', 'FERMÉE', ',', 'PROCHE');('LE CANNET', 'PROCHE');0
3057;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'les', 'commerces');('minutes', 'commerces');1
3058;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('minutes', 'de', 'les', 'commerces', ',', 'des', 'plages', ',', 'de', 'le', 'port');('minutes', 'commerces', 'port');1
3059;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('minutes', 'de', 'les', 'commerces', ',', 'des', 'plages', ',', 'de', 'le', 'port', 'et', 'de', 'les', 'golfs');('minutes', 'commerces', 'golfs');1
3060;(('ET', 'EG'), ('nmod',));('proche', 'commerces');('proche', 'commerces');1
3061;(('TOPONYME', 'ET'), ('appos',));('Saint Jacques', ',', 'proche');('Saint Jacques', 'proche');0
3062;(('EG', 'TOPONYME', 'ET'), ('nmod', 'appos'));('Quartier', 'prisé', 'de', 'Saint Jacques', ',', 'proche');('Quartier', 'Saint Jacques', 'proche');0
3063;(('EG', 'ET'), ('case',));('Proche', 'mer');('mer', 'Proche');1
3064;(('ET', 'EG'), ('obl:arg',));('Proche', 'de', 'toutes', 'commodités');('Proche', 'commodités');1
3065;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('Proche', 'de', 'toutes', 'commodités', ',', 'plages');('Proche', 'commodités', 'plages');1
3066;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('Proche', 'de', 'toutes', 'commodités', ',', 'plages', 'à', 'pied', 'et', 'arrêt de bus');('Proche', 'commodités', 'arrêt de bus');1
3067;(('EG', 'ADP', 'ET'), ('advmod', 'fixed'));('arrêt de bus', 'en', 'bas');('arrêt de bus', 'en', 'bas');1
3068;(('ET', 'TOPONYME'), ('nmod',));('accès', 'technopole', 'de', 'Sophia Antipolis');('accès', 'Sophia Antipolis');0
3069;(('ET', 'EG'), ('nmod',));('accès', 'technopole');('accès', 'technopole');1
3070;(('TOPONYME', 'ADP', 'ET'), ('advmod', 'fixed'));('Sophia Antipolis', 'à', 'proximité');('Sophia Antipolis', 'à', 'proximité');1
3071;(('EG', 'EG', 'ET'), ('conj', 'nmod'));('commerces', 'et', 'bus', 'accès');('commerces', 'bus', 'accès');0
3072;(('EG', 'ET'), ('nmod',));('bus', 'accès');('bus', 'accès');1
3073;(('ET', 'EG'), ('nmod',));('proche', 'de', 'le', 'village');('proche', 'village');1
3074;(('TOPONYME', 'NOUN', 'ET'), ('nmod', 'nmod'));('Biot', ',', 'dans', 'un', 'petit', 'domaine', 'fermé', ',', 'en', 'position');('Biot', 'domaine', 'position');0
3075;(('ET', 'TOPONYME'), ('nmod',));('Proche', 'BIOT');('Proche', 'BIOT');1
3076;(('ET', 'TOPONYME'), ('obj',));('Proche', 'BIOT');('Proche', 'BIOT');1
3077;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'la', 'place');('proche', 'place');1
3078;(('ET', 'EG', 'EG'), ('obl:arg', 'nmod'));('proche', 'de', 'la', 'place', 'à', 'les', 'aires');('proche', 'place', 'aires');0
3079;(('EG', 'ET'), ('amod',));('centre historique', 'de', 'GRASSE', 'proche');('centre historique', 'proche');1
3080;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('m', 'de', 'la', 'Rue', 'd', 'Antibes');('m', 'Rue', 'Antibes');0
3081;(('ET', 'EG'), ('nmod',));('m', 'de', 'la', 'Rue');('m', 'Rue');1
3082;(('TOPONYME', 'ET'), ('conj',));('Cannes', 'Basse Californie', ',', 'en', 'Co', 'Exclusivité', ',', 'lumineux', '2', 'pièces', 'en', 'étage', 'élevé', 'dans', 'résidence', 'recherché', 'à', 'le', 'calme', 'absolu', 'et', 'à', '300', 'm');('Cannes', 'm');0
3083;(('ET', 'EG'), ('nmod',));('Proche', 'commerces');('Proche', 'commerces');1
3084;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('Proche', 'commerces', 'et', 'bus');('Proche', 'commerces', 'bus');1
3085;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('minutes', 'de', 'la', 'gare', 'de', 'les trains');('minutes', 'gare', 'les trains');0
3086;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'la', 'gare');('minutes', 'gare');1
3087;(('ET', 'TOPONYME'), ('nmod',));('Proche', 'Maréchal Juin');('Proche', 'Maréchal Juin');1
3088;(('ET', 'EG'), ('nmod',));('m', 'de', 'les', 'plages');('m', 'plages');1
3089;(('TOPONYME', 'ET'), ('conj',));('Maréchal Juin', ',', 'calme', 'absolu', ',', '500', 'm');('Maréchal Juin', 'm');0
3090;(('ET', 'TOPONYME'), ('nmod',));('coeur', 'de', 'la', 'Banane');('coeur', 'Banane');1
3091;(('ET', 'TOPONYME'), ('nmod',));('cote', 'de', 'l', 'hôtel Carlton');('cote', 'hôtel Carlton');1
3092;(('TOPONYME', 'ET'), ('appos',));('CANNES', 'PRES', 'DE', 'CARLTON', 'STUDIO', 'RÉNOVÉ', 'AVEC', 'TERRASSE', 'Situé', 'à', 'le', 'coeur', 'de', 'la', 'Banane', ',', 'a', 'cote');('CANNES', 'cote');0
3093;(('ET', 'EG'), ('flat:name',));('VUE', 'MER');('VUE', 'MER');1
3094;(('ET', 'EG'), ('nmod',));('vue', 'sur', 'la', 'mer');('vue', 'mer');1
3095;(('ET', 'EG'), ('nmod',));('non loin', 'de', 'le', 'village');('non loin', 'village');1
3096;(('EG', 'ADJ', 'ET'), ('amod', 'conj'));('quartier', 'calme', 'et', 'non loin');('quartier', 'calme', 'non loin');1
3097;(('ET', 'TOPONYME'), ('nmod',));('km', 'de', 'Cannes');('km', 'Cannes');1
3098;(('ET', 'TOPONYME'), ('nmod',));('km', 'de', 'Grasse');('km', 'Grasse');1
3099;(('ET', 'TOPONYME'), ('nmod',));('km', 'de', 'Pégomas');('km', 'Pégomas');1
3100;(('EG', 'ET'), ('nmod',));('commodités', 'à', '15', 'km');('commodités', 'km');1
3101;(('EG', 'ET'), ('nmod',));('commodités', 'à', '15', 'km', 'de', 'Cannes', '12', 'km');('commodités', 'km');0
3102;(('ET', 'ADJ', 'TOPONYME'), ('amod', 'obl:mod'));('vue', 'dégagée', 'À', 'Nice');('vue', 'dégagée', 'Nice');1
3103;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('m', 'de', 'les', 'plages', 'de', 'golfe juan');('m', 'plages', 'golfe juan');0
3104;(('ET', 'EG'), ('nmod',));('m', 'de', 'les', 'plages');('m', 'plages');1
3105;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('Proche', 'commerces', 'et', 'transport en commun');('Proche', 'commerces', 'transport en commun');1
3106;(('ET', 'EG'), ('obl:arg',));('Proche', 'commerces');('Proche', 'commerces');1
3107;(('EG', 'ET'), ('root',));('Proche', 'commerces', 'et', 'transport en commun');('transport en commun', 'Proche');0
3108;(('EG', 'EG', 'ET'), ('conj', 'root'));('Proche', 'commerces', 'et', 'transport en commun');('commerces', 'transport en commun', 'Proche');0
3109;(('ET', 'TOPONYME'), ('nmod',));('pas', 'de', 'Nice');('pas', 'Nice');1
3110;(('ET', 'TOPONYME', 'TOPONYME'), ('nmod', 'flat:name'));('pas', 'de', 'Nice', 'Etoile');('pas', 'Nice', 'Etoile');0
3111;(('ET', 'EG', 'TOPONYME'), ('conj', 'appos'));('pas', 'de', 'Nice', 'Etoile', 'et', 'de', 'la', 'célèbre', 'avenue', 'Jean Médecin');('pas', 'avenue', 'Jean Médecin');0
3112;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('minutes', 'de', 'l', 'aéroport', 'Nice Côte d Azur');('minutes', 'aéroport', 'Nice Côte d Azur');0
3113;(('ET', 'EG'), ('conj',));('pas', 'de', 'Nice', 'Etoile', 'et', 'de', 'la', 'célèbre', 'avenue');('pas', 'avenue');1
3114;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'les', 'écoles');('proximité', 'écoles');1
3115;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'immédiate', 'de', 'les', 'écoles', ',', 'des', 'commerces');('proximité', 'écoles', 'commerces');1
3116;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'immédiate', 'de', 'les', 'écoles', ',', 'des', 'commerces', 'et', 'de', 'le', 'tramway');('proximité', 'écoles', 'tramway');1
3117;(('ET', 'ET', 'EG'), ('nmod', 'nmod'));('proximité', 'immédiate', 'de', 'les', 'écoles', ',', 'des', 'commerces', 'et', 'de', 'le', 'tramway', ',', 'à', '10', 'minutes', 'de', 'l', 'aéroport');('proximité', 'minutes', 'aéroport');0
3118;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'l', 'aéroport');('minutes', 'aéroport');1
3119;(('ET', 'ADP', 'EG'), ('case', 'obl:arg'));('à', 'proximité', 'directe', 'des', 'plages');('proximité', 'à', 'plages');1
3120;(('EG', 'ET'), ('nmod',));('commune', 'de', 'Golfe Juan', ',', 'à', 'proximité');('commune', 'proximité');1
3121;(('ET', 'EG'), ('nmod',));('proximité', 'de', 'les', 'commodités');('proximité', 'commodités');1
3122;(('EG', 'ET'), ('nmod',));('faculté de médecine', 'à', '950', 'm');('faculté de médecine', 'm');1
3123;(('EG', 'EG', 'ET'), ('conj', 'nmod'));('faculté de médecine', 'à', '950', 'm', ',', 'tramway', 'à', '900', 'm');('faculté de médecine', 'tramway', 'm');0
3124;(('EG', 'ET'), ('nmod',));('tramway', 'à', '900', 'm');('tramway', 'm');1
3125;(('EG', 'ADP', 'ET'), ('advmod', 'fixed'));('hôpitaux', 'à', 'proximité');('hôpitaux', 'à', 'proximité');1
3126;(('ET', 'EG'), ('flat:name',));('PROXIMITE', 'POSTE');('PROXIMITE', 'POSTE');1
3127;(('ET', 'EG'), ('nmod',));('VUE', 'PANORAMIQUE', 'SUR', 'L', 'ENSEMBLE DES COLLINES');('VUE', 'ENSEMBLE DES COLLINES');1
3128;(('ET', 'EG'), ('appos',));('PROXIMITE', 'DE', 'TOUTES', 'LES', 'COMMODITES');('PROXIMITE', 'COMMODITES');1
3129;(('ET', 'EG', 'EG'), ('appos', 'appos'));('PROXIMITE', 'DE', 'TOUTES', 'LES', 'COMMODITES', '(', 'écoles');('PROXIMITE', 'COMMODITES', 'écoles');0
3130;(('TOPONYME', 'ET'), ('flat:name',));('PASTEUR', 'PROXIMITE');('PASTEUR', 'PROXIMITE');0
3131;(('TOPONYME', 'ADJ', 'ET'), ('appos', 'conj'));('PASTEUR', 'PROXIMITE', 'POSTE', ':', 'SPACIEUX', 'APPARTEMENT', 'de', 'type', 'F3', ',', 'de', '80', 'm²', 'environ', ',', 'EN', '6', '°', 'ET', 'AVANT', 'DERNIER', 'ETAGE', ',', 'TRAVERSANT', 'NORD', 'SUD', ',', 'AU', 'CALME', ',', 'VUE');('PASTEUR', 'SPACIEUX', 'VUE');0
